,ets_add_add_false,ets_add_mul_false,ets_mul_add_false,ets_mul_mul_false,ets_add_add_true,ets_add_mul_true,ets_mul_add_true,ets_mul_mul_true
108,361.87503347768495,143.2935642853376,199.12162676433243,205.4374465769985,215.53410136800406,163.67002373564114,133.5788874632093,220.4245071813377
109,365.0496331471739,143.39194645724388,200.0039272463664,206.62422725335767,216.02864902199292,163.68516624831184,133.5607502797862,220.63339716395888
110,368.22423281666283,143.49039617615966,200.88622772840037,207.8178637799878,216.513305722902,163.69930455136642,133.54297584003154,220.83347205955783
111,371.3988324861518,143.58891348846123,201.76852821043434,209.01839576208624,216.9882692897929,163.7125051628135,133.525556889072,221.02509620948283
112,374.5734321556407,143.68749844055668,202.6508286924683,210.2258630336436,217.453733585346,163.72483020463136,133.50848631713163,221.2086195425014
113,377.74803182512966,143.786151078886,203.53312917450228,211.44030565876525,217.90988859498802,163.7363376919984,133.49175715663006,221.38437808970633
114,380.9226314946186,143.88487144992106,204.41542965653625,212.6617639330008,218.3569205044372,163.74708180366062,133.47536257933854,221.55269448589598
115,384.09723116410754,143.98365960016562,205.29773013857022,213.8902783846811,218.7950117756974,163.7571131346449,133.45929589359284,221.71387845731687
116,387.2718308335965,144.08251557615537,206.18003062060419,215.12588977626294,219.22434122153237,163.76647893245172,133.44355054156205,221.8682272957146
117,390.4464305030854,144.18143942445798,207.06233110263815,216.36863910568158,219.64508407845065,163.7752233177915,133.4281200965719,222.01602631869258
118,393.62103017257436,144.28043119167305,207.94463158467212,217.61856760771107,220.05741207823058,163.78338749086157,133.41299826048152,222.15754931642425
119,396.7956298420633,144.3794909244322,208.8269320667061,218.8757167553325,220.46149351801492,163.79100992409843,133.39817886111297,222.29305898480578
120,399.97022951155225,144.47861866939905,209.70923254874006,220.1401282611099,220.85749332900355,163.79812654228158,133.38365584973178,222.4228073451717
121,403.1448291810412,144.57781447326929,210.59153303077403,221.41184407857455,221.24557314377242,163.80477089080912,133.36942329857823,222.54703615072802
122,406.31942885053013,144.67707838277062,211.473833512808,222.6909064036167,221.6258913622459,163.8109742929143,133.35547539844774,222.66597727988432
123,409.49402852001907,144.77641044466287,212.35613399484197,223.97735767588594,221.99860321634992,163.81676599654193,133.34180645631986,222.77985311668928
124,412.668628189508,144.87581070573793,213.23843447687594,225.2712405801991,222.36386083337186,163.82217331155923,133.32841089303454,222.88887691859492
125,415.84322785899695,144.97527921281988,214.1207349589099,226.57259804795675,222.72181329805335,163.82722173793132,133.31528324101492,222.9932531717912
126,419.0178275284859,145.0748160127649,215.00303544094388,227.88147325856752,223.07260671344122,163.83193508545176,133.3024181420357,223.09317793436676
127,422.19242719797484,145.17442115246132,215.88533592297784,229.19790964088094,223.41638426052134,163.83633558558043,133.28981034503605,223.18883916756312
128,425.3670268674638,145.27409467882973,216.7676364050118,230.5219508746283,223.75328625665986,163.84044399590536,133.2774547039764,223.2804170553989
129,428.5416265369527,145.37383663882287,217.64993688704578,231.853640891872,224.0834502128756,163.84427969771207,133.26534617573793,223.36808431294853
130,431.71622620644166,145.47364707942575,218.53223736907975,233.19302387846332,224.407010889967,163.84786078711218,133.25347981806425,223.4520064835636
131,434.8908258759306,145.57352604765563,219.41453785111372,234.54014427550834,224.7241003535166,163.85120416015434,133.24185078754405,223.53234222533115
132,438.06542554541954,145.67347359056205,220.2968383331477,235.89504678084268,225.03484802779522,163.85432559231253,133.23045433763426,223.60924358706333
133,441.2400252149085,145.77348975522688,221.17913881518166,237.25777635051446,225.33938074858824,163.85723981272173,133.21928581672265,223.68285627411507
134,444.4146248843974,145.87357458876426,222.06143929721563,238.62837820027607,225.6378228149654,163.85996057350619,133.20834066622928,223.75331990432585
135,447.58922455388637,145.97372813832072,222.9437397792496,240.00689780708433,225.93029604001504,163.86250071452332,133.19761441874576,223.8207682543811
136,450.7638242233753,146.07395045107518,223.82604026128357,241.39338091060947,226.2169198005637,163.86487222382544,133.18710269621192,223.88532949688565
137,453.93842389286425,146.1742415742389,224.70834074331754,242.78787351475282,226.49781108590136,163.8670862941213,133.17680120812875,223.9471264284397
138,457.1130235623532,146.27460155505554,225.5906412253515,244.1904218891732,226.77308454553227,163.86915337550113,133.16670574980725,224.0062766890044
139,460.28762323184213,146.37503044080128,226.47294170738547,245.60107257082214,227.04285253597055,163.87108322467196,133.15681220065218,224.0628929728391
140,463.4622229013311,146.4755282787847,227.35524218941944,247.01987236548806,227.3072251666001,163.87288495093327,133.14711652248022,224.11708323128903
141,466.63682257082,146.57609511634686,228.2375426714534,248.44686834934922,227.56631034461702,163.8745670591081,133.1376147578717,224.16895086769608
142,469.81142224030896,146.67673100086134,229.11984315348738,249.88210787053578,227.82021381907362,163.87613748963102,133.12830302855534,224.21859492470097
143,472.9860219097979,146.77743597973424,230.00214363552135,251.32563855070075,228.0690392240411,163.87760365598055,133.1191775338253,224.26611026419846
144,476.16062157928684,146.8782101004042,230.88444411755532,252.77750828660018,228.3128881209092,163.87897247963159,133.11023454898987,224.31158774020244
145,479.3352212487758,146.97905341034246,231.7667445995893,254.23776525168233,228.55186003983997,163.88025042269174,133.10147042385114,224.3551143648709
146,482.5098209182647,147.07996595705282,232.64904508162326,255.70645789768614,228.7860525203921,163.8814435183751,133.09288158121518,224.3967734679348
147,485.68442058775366,147.1809477880717,233.53134556365723,257.18363495624874,229.0155611513332,163.8825573994559,133.08446451543196,224.4366448497685
148,488.8590202572426,147.2819989509682,234.4136460456912,258.66934544052253,229.24047960965547,163.8835973248362,133.0762157909644,224.4748049283335
149,492.03361992673155,147.383119493344,235.29594652772516,260.1636386468014,229.4608996988113,163.88456820435232,133.06813204098617,224.51132688021994
150,495.2082195962205,147.48430946283352,236.17824700975913,261.66656415615637,229.676911386184,163.88547462193642,133.06020996600753,224.5462807760044
151,498.38281926570943,147.58556890710386,237.0605474917931,263.17817183608065,229.88860283980927,163.8863208572423,133.05244633252846,224.57973371013642
152,501.55741893519837,147.6868978738549,237.94284797382707,264.6985118421444,230.096060464362,163.88711090583718,133.04483797171898,224.6117499255587
